model,species,var_sp[1]_mean,var_sp[1]_2.5%,var_sp[1]_97.5%,var_sp[2]_mean,var_sp[2]_2.5%,var_sp[2]_97.5%,var_sp[3]_mean,var_sp[3]_2.5%,var_sp[3]_97.5%,sigma_mean,sigma_2.5%,sigma_97.5%,indiv_std_mean,indiv_std_2.5%,indiv_std_97.5%,log_density_mean,log_density_2.5%,log_density_97.5%,elpd,elpd_mcse,p,p_mcse,var_sp[4]_mean,var_sp[4]_2.5%,var_sp[4]_97.5%
Modified Gaussian,Mycocepurus_smithii,300.5135085687652,298.8429247440963,304.1937324741486,-3.4975145216304666,-3.884508613015882,-2.8860473947552348,1.844310322964467,1.489920739074766,2.3647549484969748,0.04091832146782055,0.03722655510923076,0.04523577741290702,0.25122169483048895,0.18422371534138332,0.33873965034618186,559.4787168543797,534.8657092289735,586.6639495655851,467.94731835749286,27.315483329506115,102.16934771974138,15.021739301014737,1.174200803024863,0.7152011802893625,1.6045766403016293
Modified Gaussian,Paratrachymyrmex_cornetzi,296.16589469778165,295.48886096135533,296.7819167035644,-2.9548265824636486,-3.514978007013801,-2.2305309147156858,0.9605822513586855,0.32115161766878364,1.4005989852367393,0.036996749154375536,0.03355941405220788,0.0410124762600614,0.39487736256989986,0.2581797476559733,0.5836678839954017,568.4844914231821,534.4250768470599,596.0570417761305,495.7065962448665,25.81359965651601,105.73728559338738,15.629874506393197,0.7899470924726576,0.3075099457779016,1.1874199676394885
Weibull,Acromyrmex_echinatior,298.49500723511363,297.5655576879598,299.32435163724546,-3.2133185498229704,-3.5521297307776027,-2.8151489957559415,5.07569849102111,3.2404397277144255,8.318380531576594,0.05574392037823837,0.05066213717978821,0.06187715411213048,0.3433076975191974,0.2620648356447644,0.448039291031272,436.8813760024302,411.69099963007505,463.1352712152318,376.04858130807617,21.457670107701663,91.81571209420568,12.051184091430123,-1.3006538372362582,-1.5596261916303713,-1.0283335939235134
Weibull,Apterostigma_dentigerum,296.7990993970603,296.13015345697073,297.60878754007456,-2.474568822736103,-2.7264463612532817,-2.180890753251791,4.186910686937397,2.89593719383766,6.237343387567734,0.07652109628203566,0.06923745706772552,0.08423304561904171,0.031189169096421165,0.010052757307883001,0.06161452584344501,487.5292894068081,441.9149291535422,547.5439879751004,298.51861312207825,12.982662478225494,72.75713274287484,5.922026488339004,-1.1944680480463659,-1.620493616474812,-0.7781443336704443
Weibull,Atta_colombica,297.84694966902396,296.3236368674945,299.2248682143968,-2.929222230241408,-3.657947007622893,-2.1990649598945655,3.1598361015018575,2.553904054248067,4.049369587291528,0.06261707664949549,0.05686896324458634,0.06886659689185073,0.15055150621106334,0.10641472924040497,0.21181895582412,447.56281253558484,421.87774453263614,470.0303359589447,345.3769271610995,16.9267120281064,88.5470118886858,8.786322200821699,-1.439146479062896,-1.7182693515018646,-1.146631278408584
Weibull,Cyphomyrmex_costatus,300.1369980392868,299.4993500107285,300.84558692817143,-2.3767438595579873,-3.028143429137756,-1.802585447703827,3.000453854397406,2.8362469541234305,3.233231788872054,0.09835565703319546,0.08883966286536231,0.10903900586205058,0.06450533566532989,0.02374643773702866,0.1130755599457147,361.4368419656267,328.5221267734191,405.31987309790816,211.47835484845248,14.719943419158662,76.69158959332793,7.437188203156166,-1.6766520509679268,-1.9170818814597377,-1.39649903493148
Weibull,Mycocepurus_smithii,300.2457655744423,299.4501657125764,301.1920580537465,-3.310439632103079,-3.7123119073996804,-2.7493162836075324,3.2134510804895453,2.797087070191469,4.273981564937572,0.04197858960044783,0.03812993562742939,0.04623378783628732,0.26393921153864663,0.18572477209219632,0.3696730726757429,547.2813326662022,521.3724196307757,570.3128153710741,462.55007074313227,25.474215056942636,98.89921077302179,13.78432793051342,-1.3388355075222214,-1.6416251871531962,-1.0071395652577635
Weibull,Paratrachymyrmex_cornetzi,296.7412544309787,296.011937725745,297.6759836352567,-2.9251977210409614,-3.4481918556898368,-2.3119459241076017,3.0358433778389537,2.624206226054222,4.213280283704346,0.03742988132564505,0.0337803832087622,0.041313618167545946,0.4046928182181673,0.2619695518272491,0.6162601540808655,555.1597126998911,525.9221346486929,583.2316200023397,490.2097815565006,25.898622942867423,107.38741606239238,16.1561580069135,-0.7985136216095229,-1.2530541289981367,-0.3002320683703358
Pawar,Acromyrmex_echinatior,297.9314322669005,296.6417280095327,299.57228219365265,-3.831548818038458,-4.143908869066204,-3.22221239603878,0.639727606604831,0.17424335515163247,1.0883046324897472,0.05575993480102543,0.050866953004778705,0.061328461345349715,0.33775355859104966,0.2590224118369456,0.44308380879621917,438.67153104214754,415.58799063865945,459.6177038446534,374.91417966338054,21.23171892547867,91.9297239665794,11.725865105522095,1.6364994757910911,1.2270167785752062,2.1302324681030043
Pawar,Apterostigma_dentigerum,296.5830649261927,296.2594079254775,296.935889627428,-2.915258955768764,-3.3153190303268603,-2.6074521605435983,0.7551316265660256,0.46016196597289444,1.0443146546502053,0.07678917252588383,0.07007419371131038,0.08445941748620729,0.03272312019924265,0.011755256466050685,0.06330832050980448,488.86884892977264,443.2801777415793,545.5015080504795,297.6247971939375,12.781486777141915,72.34692095275521,5.807817713713925,1.9854097223448843,1.3307998411863984,2.5937022846786184
Pawar,Atta_colombica,296.6656684983332,295.6935753844812,297.8644165156239,-3.0638457551644778,-3.6023344114833096,-2.4479984845978273,0.8814504948387227,0.4602439796655525,1.2593703666971185,0.06383224129315637,0.05800609119166742,0.07055622923603025,0.15915063143522645,0.10906692688834646,0.21821315798403076,444.2154523583155,415.08718357842724,467.29827165607287,341.33426376123396,16.21194796722072,87.75939537866398,8.515732377786797,1.427002943976773,1.073438267759612,1.875705038455035
Pawar,Cyphomyrmex_costatus,298.9837345476004,298.0222467739542,300.41670937949317,-2.5345246888840607,-3.2926932315271182,-1.9889849102388755,1.3294852673196194,1.0856646054722667,1.5245046170872363,0.09480043128833719,0.08539733948568398,0.10449846519113867,0.02853399811498836,0.012558661443455575,0.05581321798402031,421.9586133762694,378.50170908345643,465.4822789498707,228.55769535327093,15.98509701803681,67.95101545624188,7.345444965648744,1.4183457859911477,1.2584889662539616,1.6221093007343237
Pawar,Mycocepurus_smithii,297.8077717995774,296.8042649549861,299.22035031317483,-3.8585541311003464,-4.213346955135567,-3.1642661866872595,1.5527624796832378,0.8447253172409297,1.8805848941293153,0.04111576317655221,0.0374908075642333,0.045130198839054836,0.23722384343752145,0.1755116649988047,0.32616116198399586,562.4561274418837,539.7044502751963,583.1712555611634,465.70452517469147,27.5290477436912,101.25878181993286,15.486120637536416,1.7452389003412463,1.395167309361983,2.20987800612054
Pawar,Paratrachymyrmex_cornetzi,295.72496520091613,294.8724120766349,296.48821429729776,-3.545932872895743,-3.8929936358864183,-3.080464885188236,1.8143926876559588,1.267851541206006,2.331000408716289,0.03690562234132502,0.033506781821115036,0.04080667985118615,0.3866516742451738,0.25620552285305886,0.5699923276688059,564.3095983693582,536.5564587543595,590.4263072436122,494.1443495533133,26.118300227274112,107.78254707807126,15.890887380794016,2.5174997018089935,2.109760054038096,2.971081555707538
Deutsch,Acromyrmex_echinatior,299.2099785214272,296.5323525068499,301.739330697783,304.1100183764316,303.3193297734395,305.2741432914698,-3.201560002398402,-3.498057057079384,-2.671890315580114,0.055385029931202284,0.05020698752629414,0.06047655872773003,0.35487693812564475,0.26324043612705533,0.465661371781659,435.24401397109,410.9931481592854,456.50591812154784,376.4280435483215,21.336703944454353,92.57451168671358,11.677483725755208,1.698811199926781,1.327449915199956,1.9998337832351303
Deutsch,Apterostigma_dentigerum,297.3408115383881,296.6720203427292,298.1109464799993,303.4384211001486,302.77224422519555,304.264838958466,-2.5543150871003704,-2.837686286308059,-2.2677866504425976,0.07540292729832287,0.06866808918221955,0.08328269655025587,0.02669766750161898,0.006302428061624729,0.05818711671583031,507.3143093025596,452.4612903755236,584.2436893516972,303.49201624232717,13.410125634193074,71.5333155222927,5.949322255289463,1.585120865590285,1.3448331101876265,1.7873165468012484
Deutsch,Atta_colombica,297.46128905451224,295.9320957584037,299.2792334007045,305.4733689355599,303.7428837811032,307.88565741648006,-2.8603896427407642,-3.3511042016396937,-2.1856243806027287,0.06301125043050511,0.05727334534942918,0.06951539359653353,0.1488120698204532,0.10410498489225635,0.2080391962298077,443.78970475828095,419.0959361908636,465.5821819096363,344.89421547073994,16.702146688246376,87.84934709867447,8.710205301354796,1.5866374742335843,1.3005566858380144,1.8421515189514301
